ID,CourseID,Semester,MandatoryLevel,Timeslot
1,1,fall,undergraduate,timeslot
2,2,fall,undergraduate,timeslot
3,3,fall,undergraduate,timeslot
4,4,fall,undergraduate,timeslot
5,5,fall,undergraduate,timeslot
6,6,fall,undergraduate,timeslot
7,7,fall,undergraduate,timeslot
8,8,fall,undergraduate,timeslot
9,9,fall,undergraduate,timeslot
10,10,fall,undergraduate,timeslot
11,11,fall,undergraduate,timeslot
12,12,fall,undergraduate,timeslot
13,13,fall,undergraduate,timeslot
14,14,fall,undergraduate,timeslot
15,15,fall,undergraduate,timeslot
16,16,fall,undergraduate,timeslot
17,17,fall,undergraduate,timeslot
18,18,fall,undergraduate,timeslot
19,19,fall,undergraduate,timeslot
20,20,fall,undergraduate,timeslot
21,21,fall,undergraduate,timeslot
22,22,fall,undergraduate,timeslot
23,23,fall,undergraduate,timeslot
24,24,fall,undergraduate,timeslot
25,25,fall,undergraduate,timeslot
26,26,fall,undergraduate,timeslot
27,27,fall,undergraduate,timeslot
28,28,fall,undergraduate,timeslot
29,29,fall,undergraduate,timeslot
30,30,fall,undergraduate,timeslot
31,31,fall,undergraduate,timeslot
32,32,fall,undergraduate,timeslot
33,33,fall,undergraduate,timeslot
34,34,fall,undergraduate,timeslot
35,35,fall,undergraduate,timeslot
36,36,fall,undergraduate,timeslot
37,37,fall,undergraduate,timeslot
38,38,fall,undergraduate,timeslot
39,39,fall,undergraduate,timeslot
40,40,fall,undergraduate,timeslot
41,41,fall,undergraduate,timeslot
42,42,fall,undergraduate,timeslot
43,43,fall,undergraduate,timeslot
44,44,fall,undergraduate,timeslot
45,45,fall,undergraduate,timeslot
46,46,fall,undergraduate,timeslot
47,47,fall,undergraduate,timeslot
48,48,fall,undergraduate,timeslot
49,49,fall,undergraduate,timeslot
50,50,fall,undergraduate,timeslot
51,51,fall,undergraduate,timeslot
52,52,fall,undergraduate,timeslot
53,53,fall,undergraduate,timeslot
54,54,fall,undergraduate,timeslot
55,55,fall,undergraduate,timeslot
56,56,fall,undergraduate,timeslot
57,57,fall,undergraduate,timeslot
58,58,fall,undergraduate,timeslot
59,59,fall,undergraduate,timeslot
60,60,fall,undergraduate,timeslot
61,61,fall,undergraduate,timeslot
62,62,fall,graduate,timeslot
63,63,fall,graduate,timeslot
64,64,fall,graduate,timeslot
65,65,fall,graduate,timeslot
66,66,fall,graduate,timeslot
67,67,fall,graduate,timeslot
68,68,fall,graduate,timeslot
69,69,fall,graduate,timeslot
70,70,fall,graduate,timeslot
71,71,fall,graduate,timeslot
72,72,fall,graduate,timeslot
73,73,fall,graduate,timeslot
74,74,fall,graduate,timeslot
75,75,fall,graduate,timeslot
76,76,fall,graduate,timeslot
77,77,fall,graduate,timeslot
78,78,fall,graduate,timeslot
79,79,fall,graduate,timeslot
80,80,fall,graduate,timeslot
81,81,fall,graduate,timeslot
82,82,fall,graduate,timeslot
83,83,fall,graduate,timeslot
84,84,fall,graduate,timeslot
85,85,fall,graduate,timeslot
86,86,fall,graduate,timeslot
87,87,fall,graduate,timeslot
88,88,fall,graduate,timeslot
89,89,fall,graduate,timeslot
90,90,fall,graduate,timeslot
91,91,fall,graduate,timeslot
92,92,fall,graduate,timeslot
93,93,fall,graduate,timeslot
94,94,fall,graduate,timeslot
95,95,fall,graduate,timeslot
96,96,fall,graduate,timeslot
97,97,fall,graduate,timeslot
98,98,fall,graduate,timeslot
99,99,fall,graduate,timeslot
100,100,fall,graduate,timeslot
101,101,fall,graduate,timeslot
102,102,fall,graduate,timeslot
103,103,fall,graduate,timeslot
104,104,fall,graduate,timeslot
105,105,fall,graduate,timeslot
106,106,fall,graduate,timeslot
107,107,fall,graduate,timeslot
108,108,fall,graduate,timeslot
109,109,fall,graduate,timeslot
110,110,fall,graduate,timeslot
111,111,fall,graduate,timeslot
